Variable Name,Solution Value
"prod_mine[2088,mine,brine]",0
"prod_mine[2088,mine,spod]",1090.968159
"prod_mine[2088,mine,clay]",920.1522745
"prod_mine[2089,mine,brine]",0
"prod_mine[2089,mine,spod]",1103.151345
"prod_mine[2089,mine,clay]",934.286713
"prod_mine[2090,mine,brine]",0
"prod_mine[2090,mine,spod]",1115.357173
"prod_mine[2090,mine,clay]",948.6204049
"prod_mine[2091,mine,brine]",0
"prod_mine[2091,mine,spod]",1127.593312
"prod_mine[2091,mine,clay]",963.1639116
"prod_mine[2092,mine,brine]",0
"prod_mine[2092,mine,spod]",1139.866995
"prod_mine[2092,mine,clay]",977.9276728
"prod_mine[2093,mine,brine]",0
"prod_mine[2093,mine,spod]",1152.185042
"prod_mine[2093,mine,clay]",992.9220282
"prod_mine[2094,mine,brine]",0
"prod_mine[2094,mine,spod]",1164.553883
"prod_mine[2094,mine,clay]",1008.15724
"prod_mine[2095,mine,brine]",0
"prod_mine[2095,mine,spod]",1176.979585
"prod_mine[2095,mine,clay]",1023.643511
"prod_mine[2096,mine,brine]",0
"prod_mine[2096,mine,spod]",1189.46787
"prod_mine[2096,mine,clay]",1039.391007
"prod_mine[2097,mine,brine]",0
"prod_mine[2097,mine,spod]",1202.02414
"prod_mine[2097,mine,clay]",1055.409875
"prod_mine[2098,mine,brine]",0
"prod_mine[2098,mine,spod]",1214.653495
"prod_mine[2098,mine,clay]",1071.710264
"prod_mine[2099,mine,brine]",0
"prod_mine[2099,mine,spod]",1227.360759
"prod_mine[2099,mine,clay]",1088.302343
"prod_mine[2100,mine,brine]",0
"prod_mine[2100,mine,spod]",1240.150496
"prod_mine[2100,mine,clay]",1105.196324
"prod_proc[2020,proc,brine,loh]",0
"prod_proc[2020,proc,brine,lce]",0
"prod_proc[2020,proc,spod,loh]",47.78918811
"prod_proc[2020,proc,spod,lce]",0
"prod_proc[2020,proc,clay,loh]",0
"prod_proc[2020,proc,clay,lce]",45.33939429
"prod_proc[2021,proc,brine,loh]",0
"prod_proc[2021,proc,brine,lce]",0
"prod_proc[2021,proc,spod,loh]",105.7999445
"prod_proc[2021,proc,spod,lce]",0
"prod_proc[2021,proc,clay,loh]",0
"prod_proc[2021,proc,clay,lce]",73.49354568
"prod_proc[2022,proc,brine,loh]",0
"prod_proc[2022,proc,brine,lce]",0
"prod_proc[2022,proc,spod,loh]",166.0778321
"prod_proc[2022,proc,spod,lce]",0
"prod_proc[2022,proc,clay,loh]",0
"prod_proc[2022,proc,clay,lce]",111.3772252
"prod_proc[2023,proc,brine,loh]",0
"prod_proc[2023,proc,brine,lce]",0
"prod_proc[2023,proc,spod,loh]",208.6205446
"prod_proc[2023,proc,spod,lce]",0
"prod_proc[2023,proc,clay,loh]",0
"prod_proc[2023,proc,clay,lce]",145.1675567
"prod_proc[2024,proc,brine,loh]",0
"prod_proc[2024,proc,brine,lce]",0
"prod_proc[2024,proc,spod,loh]",255.7887705
"prod_proc[2024,proc,spod,lce]",0
"prod_proc[2024,proc,clay,loh]",0
"prod_proc[2024,proc,clay,lce]",167.7407651
"prod_proc[2025,proc,brine,loh]",0
"prod_proc[2025,proc,brine,lce]",0
"prod_proc[2025,proc,spod,loh]",293.3487742
"prod_proc[2025,proc,spod,lce]",0
"prod_proc[2025,proc,clay,loh]",0
"prod_proc[2025,proc,clay,lce]",188.3539945
"prod_proc[2026,proc,brine,loh]",0
"prod_proc[2026,proc,brine,lce]",0
"prod_proc[2026,proc,spod,loh]",324.2458082
"prod_proc[2026,proc,spod,lce]",0
"prod_proc[2026,proc,clay,loh]",0
"prod_proc[2026,proc,clay,lce]",207.9710174
"prod_proc[2027,proc,brine,loh]",0
"prod_proc[2027,proc,brine,lce]",0
"prod_proc[2027,proc,spod,loh]",357.9762035
"prod_proc[2027,proc,spod,lce]",0
"prod_proc[2027,proc,clay,loh]",0
"prod_proc[2027,proc,clay,lce]",229.5056889
"prod_proc[2028,proc,brine,loh]",0
"prod_proc[2028,proc,brine,lce]",0
"prod_proc[2028,proc,spod,loh]",394.7224873
"prod_proc[2028,proc,spod,lce]",0
"prod_proc[2028,proc,clay,loh]",0
"prod_proc[2028,proc,clay,lce]",253.1230987
"prod_proc[2029,proc,brine,loh]",0
